intitule_fin_corpus,categorie_id,categorie_nom,nb_questions
Mise sur le marché IVD,ra,Affaires réglementaires (RA),1
Obligations fabricant,ra,Affaires réglementaires (RA),3
Obligations fabricant IVD,ra,Affaires réglementaires (RA),3
PMA,ra,Affaires réglementaires (RA),1
PRRC,ra,Affaires réglementaires (RA),2
PRRC IVDR,ra,Affaires réglementaires (RA),2
Records non-reportable corrections,ra,Affaires réglementaires (RA),1
Registration and listing,ra,Affaires réglementaires (RA),2
Responsabilité produit,ra,Affaires réglementaires (RA),3
Règles classification,ra,Affaires réglementaires (RA),1
Règles classification IVDR,ra,Affaires réglementaires (RA),1
Analyse bénéfice-risque,risk_mgmt,Gestion des risques (ISO 14971),3
Analyse des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Analyse options de maîtrise,risk_mgmt,Gestion des risques (ISO 14971),3
Caractéristiques sécurité,risk_mgmt,Gestion des risques (ISO 14971),1
Complétude maîtrise,risk_mgmt,Gestion des risques (ISO 14971),1
Compétence risques,risk_mgmt,Gestion des risques (ISO 14971),3
Dangers et situations dangereuses,risk_mgmt,Gestion des risques (ISO 14971),1
Dossier de gestion des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Estimation des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Lien risques-utilisabilité,risk_mgmt,Gestion des risques (ISO 14971),3
Maîtrise des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Mise en œuvre contrôles,risk_mgmt,Gestion des risques (ISO 14971),1
Plan de gestion des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Processus gestion des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Responsabilités direction risques,risk_mgmt,Gestion des risques (ISO 14971),3
Revue gestion des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Risque résiduel global,risk_mgmt,Gestion des risques (ISO 14971),3
Risques et opportunités,risk_mgmt,Gestion des risques (ISO 14971),3
Risques issus des contrôles,risk_mgmt,Gestion des risques (ISO 14971),3
Résidu de risque individuel,risk_mgmt,Gestion des risques (ISO 14971),3
Usage prévu,risk_mgmt,Gestion des risques (ISO 14971),1
Évaluation des risques,risk_mgmt,Gestion des risques (ISO 14971),3
Documentation technique,tech_doc,Documentation technique,1
Documentation technique IVDR,tech_doc,Documentation technique,1
Dossier dispositif médical,tech_doc,Documentation technique,1
Audit interne,traceability_udi,Traçabilité / UDI,5
Identification,traceability_udi,Traçabilité / UDI,1
New Device Identifier,traceability_udi,Traçabilité / UDI,1
Performance studies IVDR,traceability_udi,Traçabilité / UDI,2
Traçabilité,traceability_udi,Traçabilité / UDI,2
Traçabilité chaîne d’approvisionnement,traceability_udi,Traçabilité / UDI,2
UDI,traceability_udi,Traçabilité / UDI,2
UDI IVDR,traceability_udi,Traçabilité / UDI,2
UDI Label,traceability_udi,Traçabilité / UDI,2
UDI System,traceability_udi,Traçabilité / UDI,2
Analyse incidents/FSCA,vigilance_incidents,Vigilance & incidents,3
Analyse incidents/FSCA IVDR,vigilance_incidents,Vigilance & incidents,3
Complaint→MDR→CAPA,vigilance_incidents,Vigilance & incidents,3
Corrections and removals,vigilance_incidents,Vigilance & incidents,3
Medical Device Adverse Events and Advisory Notices Reporting,vigilance_incidents,Vigilance & incidents,10
Medical Device Reporting,vigilance_incidents,Vigilance & incidents,2
Procédure MDR reporting,vigilance_incidents,Vigilance & incidents,2
Report corrections/removals,vigilance_incidents,Vigilance & incidents,1
Reporting fabricant,vigilance_incidents,Vigilance & incidents,1
Réclamations,vigilance_incidents,Vigilance & incidents,2
Signalement autorités,vigilance_incidents,Vigilance & incidents,1
Trend reporting,vigilance_incidents,Vigilance & incidents,3
Trend reporting IVDR,vigilance_incidents,Vigilance & incidents,1
Vigilance IVDR,vigilance_incidents,Vigilance & incidents,3
Vigilance incidents graves/FSCA,vigilance_incidents,Vigilance & incidents,3
